track_id;artists;album_name;track_name;popularity;duration_ms;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;time_signature;track_genre
1SvJGlTN6dkeLVNG0L0N3L;"Wolfgang Amadeus Mozart;Renée Fleming;Anne Sofie von Otter;Michele Pertusi;David Syrus;Chamber Orchestra of Europe;Sir Georg Solti";Silvia Colloca - Sing Like An Italian;Così fan tutte, K. 588: Soave sia il vento - Live;0;173189;False;0.175;0.12;4;-22.495;1;0.0452;0.988;0.0456;0.177;0.0717;64.424;4;classical
0MtRspmmNTRJa4Ebd2AMuN;"Johann Sebastian Bach;Lang Lang";Classical Christmas 2022;Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian);0;157400;False;0.499;0.059;7;-20.969;1;0.0546;0.995;0.89;0.0889;0.171;82.472;4;classical
6OG6Ua0DAqKQ4oHC5PQX0n;"Wolfgang Amadeus Mozart;Vladimir Horowitz;Orchestra Del Teatro Alla Scala, Milano;Carlo Maria Giulini";Classical Running;Piano Concerto No. 23 in A, K.488: III. Allegro assai;0;472333;False;0.349;0.139;9;-19.982;1;0.0347;0.992;0.898;0.113;0.342;134.946;4;classical
1HHtdxeTBu9s79KaUZn5dQ;"Johann Sebastian Bach;Charles Gounod;Kian Soltani;Aaron Pilsan";Classical Christmas;Ave Maria;0;182933;False;0.177;0.0601;0;-21.942;1;0.0405;0.987;0.894;0.0687;0.0543;81.807;3;classical
0ZNZQaiqvyrNYDrcZLMvLk;"Wolfgang Amadeus Mozart;Barry Tuckwell;English Chamber Orchestra";Classical Running;Horn Concerto No. 4 in E flat, K.495: 3. Rondo (Allegro vivace);0;219226;False;0.403;0.196;3;-20.749;1;0.049;0.993;0.884;0.113;0.548;99.506;4;classical
2cWpSFmaEO4N03Vhb12P0J;"Johann Sebastian Bach;phil Blech Wien;Anton Mittermayr";Classical Christmas;Weihnachtsoratorium, BWV 248: Nr. 10 Sinfonia (Hirtenmusik);0;335853;False;0.233;0.113;5;-15.57;1;0.0418;0.994;0.873;0.102;0.0718;71.781;4;classical
5LpADD2axDBVmy9dGoUyxQ;"Wolfgang Amadeus Mozart;Bernhard Paumgartner;Camerata Salzburg";Clásica para los niños de hoy;Divertimento in D Major, K. 136: I. Allegro;0;71960;False;0.478;0.311;9;-13.227;1;0.0357;0.899;0.107;0.255;0.667;121.83;4;classical
2faaO5zn4XlmyiNM4VFy8g;"Wolfgang Amadeus Mozart;London Philharmonic Orchestra;Sir Georg Solti";Classical Running;Le nozze di Figaro, K. 492: Overture;0;236520;False;0.389;0.212;2;-16.434;1;0.0359;0.961;0.914;0.0983;0.339;77.016;4;classical
3mCrcsHhchjnu5Eph2X0qM;"Wolfgang Amadeus Mozart;Mikhail Pletnev";Clásica para los niños de hoy;"Piano Sonata No. 11 In A, K.331 -""Alla Turca"": 1. Thema (Andante grazioso) con variazioni 1 - 6";0;373000;False;0.314;0.0401;9;-29.715;1;0.0583;0.994;0.903;0.0983;0.386;170.693;5;classical
5rxdmYi9c3x86gm1OiRwjP;"Johann Sebastian Bach;Lang Lang";Classical Christmas;Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian);0;157400;False;0.499;0.059;7;-20.969;1;0.0546;0.995;0.89;0.0889;0.171;82.472;4;classical
0HOrX3f1vhUpn5hknKAM9W;"Johann Sebastian Bach;Gundula Janowitz;Christa Ludwig;Fritz Wunderlich;Münchener Bach-Orchester;Karl Richter";Classical Christmas 2022;"Christmas Oratorio, BWV 248 / Pt. 5 - For the 1st Sunday in the New Year: No. 51 Terzetto: ""Ach, wann wird die Zeit erscheinen?""";0;320173;False;0.343;0.243;11;-15.404;0;0.0578;0.943;0.0;0.532;0.417;73.48;4;classical
55DJrqFrvuDb29S2InYklj;"Johann Sebastian Bach;phil Blech Wien;Anton Mittermayr";Klassische Weihnachtsmusik;"Weihnachtsoratorium, BWV 248: Nr. 9 Choral ""Ach mein herzliebes Jesulein!""";0;67760;False;0.548;0.216;2;-9.873;1;0.0354;0.995;0.954;0.0845;0.204;62.857;4;classical
4f5ric0iKfsjcxtAr0BFfG;"Wolfgang Amadeus Mozart;Wilhelm Kempff;Berliner Philharmoniker;Ferdinand Leitner";Clásica para los niños de hoy;Piano Concerto No. 27 in B-Flat Major, K. 595: II. Larghetto;0;451000;False;0.261;0.0201;3;-25.726;1;0.039;0.99;0.895;0.108;0.0913;139.811;4;classical
6wCuzEmbutYE66FzFTmIsd;"Johann Sebastian Bach;phil Blech Wien;Anton Mittermayr";Classical Christmas;"Weihnachtsoratorium, BWV 248: Nr. 9 Choral ""Ach mein herzliebes Jesulein!""";0;67760;False;0.548;0.216;2;-9.873;1;0.0354;0.995;0.954;0.0845;0.204;62.857;4;classical
2FJkpN3sxwtlTbjfzKGZlX;"Johann Sebastian Bach;The English Concert;Trevor Pinnock";Klassische Weihnachtsmusik;Orchestral Suite No. 3 in D Major, BWV 1068: II. Air;0;289573;False;0.0923;0.0744;10;-23.757;0;0.0479;0.651;0.000237;0.168;0.0823;175.873;3;classical
0o30XkI520zpdZIeSRaSXr;"Johann Sebastian Bach;Orion Weiss";Yarlung Records: Fifteen Years;Overture in the French Style, Op. 2, BWV 831 (Excerpts): XI. Echo;0;176963;False;0.522;0.215;11;-21.148;0;0.0655;0.992;0.912;0.0971;0.934;103.767;4;classical
0wfvJwWZ1ju6C6ieGQI9hW;"Johann Sebastian Bach;Boston Symphony Orchestra;Seiji Ozawa";Classical Christmas;Vom Himmel hoch da komm ich her, BWV 769 - Orch. Stravinsky: Choral;0;47000;False;0.232;0.0142;0;-24.701;1;0.0308;0.996;0.867;0.133;0.255;95.139;5;classical
0mgemjoFwLPN0VZzFfEBN8;"Johann Sebastian Bach;Lang Lang";Klassische Weihnachtsmusik;Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian);0;157400;False;0.499;0.059;7;-20.969;1;0.0546;0.995;0.89;0.0889;0.171;82.472;4;classical
18fjez7hjQ13XLSRqgtven;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Classical Christmas;Cantata BWV 208 (Arr. William Walton): Sheep May Safely Graze;0;283933;False;0.0965;0.2;10;-16.97;1;0.0393;0.967;0.958;0.169;0.238;78.351;4;classical
2VZtXhjdZE6etfcXIKt7FB;"Johann Sebastian Bach;phil Blech Wien;Anton Mittermayr";Klassische Weihnachtsmusik;Weihnachtsoratorium, BWV 248: Nr. 10 Sinfonia (Hirtenmusik);0;335853;False;0.233;0.113;5;-15.57;1;0.0418;0.994;0.873;0.102;0.0718;71.781;4;classical
20uRKbaqAVJRGyGE6mr6Oi;"Johann Sebastian Bach;Daniel Hope;Lorenza Borrani;Lucy Gould;Stewart Eaton;William Conway;Enno Senft;Stefan Maass;Stefan Rath";Classical Christmas;Suite No. 3 in D Major, BWV 1068: II. Air;0;301333;False;0.169;0.049;2;-23.409;1;0.0385;0.956;0.017;0.15;0.0799;136.065;4;classical
77xqVXjAVWLHeyMaXdiZcC;"Johann Sebastian Bach;Albrecht Mayer;Beni Araki";Classical Christmas;Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia;0;307920;False;0.145;0.135;7;-16.841;1;0.0429;0.978;0.971;0.323;0.0535;77.975;3;classical
0XGoyjSeijvknIjO2E0QmR;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Classical Christmas;Christmas Oratorio BWV 248: Shepherd's Music;0;445733;False;0.129;0.169;7;-19.892;1;0.0408;0.916;0.942;0.124;0.0541;52.153;3;classical
0eS2jQVzLptiDcHEV1N9wC;"Johann Sebastian Bach;English Baroque Soloists;John Eliot Gardiner";Klassische Weihnachtsmusik;Christmas Oratorio, BWV 248 / Part Two - For The Second Day Of Christmas: No. 10 Sinfonia;0;319893;False;0.158;0.00972;6;-32.888;1;0.0463;0.949;0.137;0.0955;0.0572;138.062;3;classical
7w9YfF8mfQftxhm3JKcLlv;"Johann Sebastian Bach;Berliner Philharmoniker;Herbert von Karajan";Classical Christmas;Brandenburg Concerto No. 3 in G, BWV 1048: 1. (Allegro);0;391560;False;0.513;0.296;7;-15.81;1;0.0496;0.99;0.803;0.158;0.804;84.367;4;classical
1gHJ8Y9xdcOPfg5tyBIL40;"Johann Sebastian Bach;Lang Lang";Weihnachten Klassik 2022;Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian);0;157400;False;0.499;0.059;7;-20.969;1;0.0546;0.995;0.89;0.0889;0.171;82.472;4;classical
4pVe1RoexcnBcIJBErd4SH;"Johann Sebastian Bach;Albrecht Mayer;Beni Araki";Klassische Weihnachtsmusik;Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia;0;307920;False;0.145;0.135;7;-16.841;1;0.0429;0.978;0.971;0.323;0.0535;77.975;3;classical
5mwJeX3MET7i33fC0rXsHy;"Johann Sebastian Bach;Albrecht Mayer;Rainer Kussmaul;Berliner Barock Solisten";Classical Christmas;Concerto for 2 Harpsichords, Strings & Continuo in C Minor, BWV 1060 - Reconstruction For Oboe, Violin, Strings & Continuo: II. Adagio;0;311786;False;0.164;0.167;0;-17.032;0;0.044;0.594;0.368;0.224;0.154;87.069;3;classical
2LDAWHRNm2W3DJOKuZqa2j;"Johann Sebastian Bach;Jean-Philippe Audin";Alleluiah Graffitis (32 variations sur le prélude de la Suite en sol pour violoncelle seul de Johann Sebastian Bach);Suite No. 1 pour violoncelle seul in G Major, BWV 1007: Prélude - Ending;0;159853;False;0.275;0.0658;7;-21.914;1;0.0496;0.972;0.911;0.0943;0.511;92.692;3;classical
49Zh9bgUz7SQ00D3vQuBU4;"Johann Sebastian Bach;English Baroque Soloists;John Eliot Gardiner";Classical Christmas;Christmas Oratorio, BWV 248 / Part Two - For The Second Day Of Christmas: No. 10 Sinfonia;0;319893;False;0.158;0.00972;6;-32.888;1;0.0463;0.949;0.137;0.0955;0.0572;138.062;3;classical
5vFFMf3on3rtVu46VDQJ1T;"Johann Sebastian Bach;Boston Symphony Orchestra;Seiji Ozawa";Klassische Weihnachtsmusik;Vom Himmel hoch da komm ich her, BWV 769 - Orch. Stravinsky: Choral;0;47000;False;0.232;0.0142;0;-24.701;1;0.0308;0.996;0.867;0.133;0.255;95.139;5;classical
3FRKJyEazxmrH3Ez8FFUIx;"Johann Sebastian Bach;The Monteverdi Choir;English Baroque Soloists;John Eliot Gardiner";Classical Christmas;"Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 1 Chorus: ""Jauchzet, frohlocket""";0;459360;False;0.499;0.327;1;-16.66;1;0.0382;0.937;0.161;0.131;0.43;134.882;3;classical
6VaZ84jVkpCXUf5IFXcW2K;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Classical Christmas;Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring;0;204666;False;0.138;0.173;7;-17.603;1;0.0371;0.955;0.928;0.161;0.159;100.657;4;classical
3hyLdoIjuv5JV0MyE4GQkg;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Weihnachten Klassik 2022;Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring;0;204666;False;0.138;0.173;7;-17.603;1;0.0371;0.955;0.928;0.161;0.159;100.657;4;classical
1BncfTJAWxrsxyT9culBrj;"Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani";In A Time Lapse;Experience;79;315426;False;0.447;0.449;2;-10.634;1;0.0376;0.934;0.961;0.0697;0.036;92.468;4;classical
0zqWV67DuqFzLXiLJsAk9Z;Rakesh Chaurasia;Krishna Aur Kans;Enchanting Flute;50;197500;False;0.445;0.328;2;-14.203;1;0.0281;0.846;0.866;0.075;0.175;;4;classical
5E0ae8cM2HQPvNaQMRpQeI;"Frédéric Chopin;Benjamin Grosvenor";Relajación y siestas;Nocturne No. 19 in E Minor, Op. 72, No. 1;0;241986;False;0.331;0.00735;4;-30.904;0;0.0362;0.991;0.952;0.0968;0.0944;66.628;4;classical
5G0EAfi4qeZ3KtpmCgcRq2;"London Symphony Orchestra;Sir Malcolm Sargent";Halloween Movie & TV Classics;"Night on Bald Mountain (From ""Natural Born Killers"")";0;673269;False;0.251;0.17;2;-19.5;1;0.0379;0.912;0.843;0.065;0.0682;97.202;4;classical
7qIiirN1hw76BVUA9OfMbx;"Frédéric Chopin;Alice Sara Ott";The Best Classical Playlist;24 Preludes, Op. 28: No. 1 in C Major. Agitato;0;36453;False;0.246;0.144;0;-23.904;1;0.0456;0.994;0.902;0.0908;0.0558;66.196;4;classical
3Sp0aNnZVecWYdQgMyFP53;"Frédéric Chopin;Vitaly Margulis";Refreshing Piano;"Waltzes, Op. 64: No. 1, Molto vivace in D-Flat Major ""Minute Waltz""";0;113120;False;0.389;0.126;1;-23.669;1;0.0386;0.991;0.883;0.21;0.467;123.993;4;classical
7912uajUZlyQzOrleKHBe1;"Johann Sebastian Bach;The Norwegian Soloists' Choir;Grete Pedersen;Kate Hearne;Joakim Peterson;Christian Kjos";Veni: Songs of Christmas, Vol. 2;Komm, Jesu, komm, BWV 229: I. Komm, Jesu, komm;1;413106;False;0.243;0.13;6;-21.937;0;0.0406;0.983;0.000121;0.119;0.127;102.702;4;classical
7lUR4anj3pEalvriwjhmav;"Frédéric Chopin;Dang Thai Son";Relajación y siestas;Nocturne In C-Sharp Minor, Op. Posth.;0;243501;False;0.211;0.0309;8;-29.185;1;0.035;0.988;0.917;0.0685;0.206;73.82;4;classical
2adeoNAvnqsUb19PJkGV96;"Frédéric Chopin;Peter Schmalfuss";Refreshing Piano;Fantaisie Impromptu in C-Sharp Major, Op. 66 (Allegro agitato);0;274960;False;0.212;0.0622;1;-25.06;1;0.0386;0.99;0.888;0.103;0.111;72.938;3;classical
5jLDnNK79TS2LKwrHMEAeC;"Frédéric Chopin;Seong-Jin Cho";Classical Running;"Études, Op. 10: No. 12 in C Minor ""Revolutionary""";0;155880;False;0.175;0.196;5;-18.02;0;0.0326;0.959;0.823;0.209;0.151;49.891;4;classical
0KMayG55Y3QCYK2Yxq7qj7;"Ludwig van Beethoven;Murray Perahia";Clásica para los niños de hoy;"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto";0;316440;False;0.146;0.00241;1;-40.843;0;0.0434;0.995;0.945;0.113;0.0973;166.462;3;classical
7yomSmHohUtooAkcmJTFsh;"Johann Sebastian Bach;Albrecht Mayer;Beni Araki";Classical Christmas 2022;Christmas Oratorio, BWV 248 / Pt. 2: Sinfonia;1;307920;False;0.145;0.135;7;-16.841;1;0.0429;0.978;0.971;0.323;0.0535;77.975;3;classical
1xTLqJQVr3MDrFZ4GehyEK;"Frédéric Chopin;Peter Schmalfuss";Refreshing Piano;"Études, Op. 10: No. 12, Étude in C Minor ""Revolutionary""";0;163533;False;0.328;0.14;1;-17.553;1;0.033;0.977;0.895;0.0926;0.218;97.785;3;classical
3BH94h2gsVDD807EARW6Hi;"Johann Sebastian Bach;Arioso Quartett Wien";Encores;Nun komm der Heiden Heiland, BWV 659 (Arr. for String Quartet);0;282026;False;0.171;0.0367;7;-22.811;0;0.0435;0.808;0.332;0.122;0.0838;131.559;4;classical
4JQ7zXbP563BrGebQtehNR;"Frédéric Chopin;David Fung";Yarlung Records: Fifteen Years;Nocturne in C Minor, B. 108;0;195870;False;0.387;0.0519;5;-22.926;0;0.0426;0.991;0.924;0.133;0.152;62.457;4;classical
5Wr9eVJ9Ccpx6uYTLETkbk;"Ludwig van Beethoven;Wiener Philharmoniker;Andris Nelsons";Classical Running;"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": III. Lustiges Zusammensein der Landleute. Allegro";0;308240;False;0.283;0.139;5;-18.546;1;0.0476;0.931;0.841;0.54;0.334;158.524;1;classical
26qzCtXMEqNpNKmRL6LEOK;"Frédéric Chopin;Lang Lang";Relajación y siestas;"24 Préludes, Op. 28: No. 15 Sostenuto in D-Flat Major, C. 180 ""Raindrop Prelude""";0;394613;False;0.426;0.0331;1;-22.214;1;0.0483;0.991;0.897;0.0922;0.063;133.71;4;classical
3g8SjOiYhb67sSPAKP0v88;"Johann Sebastian Bach;Frederic Rosselet";Yarlung Records: Fifteen Years;Cello Suite No. 3, BWV 1009: I. Prelude;0;165947;False;0.405;0.186;11;-21.802;1;0.0565;0.931;0.866;0.219;0.609;110.747;4;classical
6b1KdkIVdrx4l3kGhv5oKW;"Frédéric Chopin;David Fung";Yarlung Records: Fifteen Years;Nocturne in C-Sharp Minor, B. 49, Op. Posth;0;247510;False;0.339;0.0322;6;-22.741;0;0.0501;0.99;0.92;0.0854;0.0986;69.941;4;classical
7whMmWEv7MovcqvrKDQyBZ;"Frédéric Chopin;Daniel Barenboim";Clásica para los niños de hoy;Berceuse in D flat, Op. 57;0;288360;False;0.297;0.0565;1;-37.107;1;0.0493;0.977;0.936;0.727;0.175;126.006;4;classical
1x7EmELLuP2FbMBWr7mJG1;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Classical Christmas 2022;Christmas Oratorio BWV 248: Shepherd's Music;0;445733;False;0.129;0.169;7;-19.892;1;0.0408;0.916;0.942;0.124;0.0541;52.153;3;classical
5EE1IDPjm2vQ4sYqXEdM0s;"Frédéric Chopin;Wilhelm Kempff";Clásica para los niños de hoy;Berceuse in D-Flat Major, Op. 57;0;286466;False;0.368;0.0334;1;-30.83;1;0.0326;0.987;0.939;0.135;0.128;97.2;4;classical
07E0HpWW8gr89oe9iRxOZu;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Classical Christmas 2022;Cantata BWV 208 (Arr. William Walton): Sheep May Safely Graze;0;283933;False;0.0965;0.2;10;-16.97;1;0.0393;0.967;0.958;0.169;0.238;78.351;4;classical
4IobGgSRBLAawpbXZAZztg;"Frédéric Chopin;Makiko Takeda";Refreshing Piano;Impromptu No. 1 in A-Flat Major, Op. 29;0;205706;False;0.245;0.0282;8;-30.836;1;0.0392;0.993;0.927;0.0976;0.137;92.531;4;classical
1YiKbubLpCNli6Bu70y0Mf;"Johann Sebastian Bach;Daniel Hope;Lorenza Borrani;Lucy Gould;Stewart Eaton;William Conway;Enno Senft;Stefan Maass;Stefan Rath";Classical Christmas 2022;Suite No. 3 in D Major, BWV 1068: II. Air;0;301333;False;0.169;0.049;2;-23.409;1;0.0385;0.956;0.017;0.15;0.0799;136.065;4;classical
6zqpcC4WbL7uEweJX2PClm;"Johann Sebastian Bach;Charles Gounod;Kian Soltani;Aaron Pilsan";Weihnachten Klassik 2022;Ave Maria;0;182933;False;0.177;0.0601;0;-21.942;1;0.0405;0.987;0.894;0.0687;0.0543;81.807;3;classical
4D6mqENQoxRrkmkBkvuXsL;"Johann Sebastian Bach;Berliner Philharmoniker;Herbert von Karajan";Classical Christmas 2022;Brandenburg Concerto No. 3 in G, BWV 1048: 1. (Allegro);1;391560;False;0.513;0.296;7;-15.81;1;0.0496;0.99;0.803;0.158;0.804;84.367;4;classical
5zrxKUk0KCbic2yoilTPs8;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Classical Christmas 2022;Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring;1;204666;False;0.138;0.173;7;-17.603;1;0.0371;0.955;0.928;0.161;0.159;100.657;4;classical
73mMeeWCtqJOyTNTbNBHwu;"Johann Sebastian Bach;English Baroque Soloists;John Eliot Gardiner";Classical Christmas 2022;Christmas Oratorio, BWV 248 / Part Two - For The Second Day Of Christmas: No. 10 Sinfonia;0;319893;False;0.158;0.00972;6;-32.888;1;0.0463;0.949;0.137;0.0955;0.0572;138.062;3;classical
7IDaLz6aKLJBDiI2SGyU69;"Frédéric Chopin;Bruce Liu";Classical Running;"Variations on ""Là ci darem la mano"" from Mozart's Don Giovanni, Op. 2: Coda. Alla Polacca - Live";0;235253;False;0.323;0.204;10;-23.955;1;0.0322;0.985;0.891;0.693;0.292;110.262;4;classical
1z3iVmTuhTMSmSjgUzoFdm;"Johann Sebastian Bach;Daniel Lozakovich;Chamber Orchestra of the Bavarian Radio;Radoslaw Szulc;Olga Watts";Classical Running;Violin Concerto No. 2 In E Major, BWV 1042: I. Allegro;0;469400;False;0.476;0.391;4;-11.603;1;0.0455;0.931;0.000678;0.367;0.681;95.44;4;classical
5nxE00HIKaYhGykHypliPR;"Johann Sebastian Bach;Orion Weiss";Yarlung Records: Fifteen Years;Overture in the French Style, Op. 2, BWV 831 (Excerpts): I. Ouverture;0;459455;False;0.222;0.169;11;-22.07;0;0.0492;0.993;0.925;0.0965;0.428;58.948;4;classical
5HLMKSAMyuhSkZwTHWC73A;"Johann Sebastian Bach;Christoph Eschenbach";Relajación y siestas;15 Inventions, BWV 772-786: XIII. Invention in A Minor, BWV 784;0;103533;False;0.392;0.135;9;-27.178;0;0.0534;0.994;0.871;0.0867;0.537;129.774;4;classical
0huiFyRSfBMAcFCErjxbiL;"Johann Sebastian Bach;Olaf Bär;Crispian Steele-Perkins;English Baroque Soloists;John Eliot Gardiner";Classical Christmas 2022;"Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 8 Aria: ""Großer Herr, o starker König""";0;262306;False;0.579;0.276;1;-17.433;1;0.0446;0.958;0.00202;0.0551;0.715;95.222;4;classical
59eGOi9E4dV8OE3twHmvFb;"Johann Sebastian Bach;Jean-Philippe Audin";Alleluiah Graffitis (32 variations sur le prélude de la Suite en sol pour violoncelle seul de Johann Sebastian Bach);Suite No. 1 pour violoncelle seul in G Major, BWV 1007: Prélude - Opening;0;158746;False;0.334;0.0699;7;-19.734;1;0.056;0.986;0.853;0.108;0.595;134.081;4;classical
7iXBqj42eDlccv9J2qjMnh;"Johann Sebastian Bach;Pietro De Maria";Clásica para los niños de hoy;The Well-Tempered Clavier, Book I, BWV 846-869: Prelude No. 1 in C Major, BWV 846;0;135373;False;0.212;0.00299;0;-41.531;1;0.0413;0.991;0.941;0.0643;0.0839;140.353;4;classical
0c1rZSPk2AtPkcfjfsU7QB;"Johann Sebastian Bach;The Monteverdi Choir;English Baroque Soloists;John Eliot Gardiner";Classical Christmas 2022;"Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 1 Chorus: ""Jauchzet, frohlocket""";0;459360;False;0.499;0.327;1;-16.66;1;0.0382;0.937;0.161;0.131;0.43;134.882;3;classical
2DtwGjmtPWlIfBvx1TBqhZ;"Johann Sebastian Bach;Göran Söllscher";Classical Running;Suite for Solo Cello No. 1 in G Major, BWV 1007 (Transcr. for Solo Guitar by Göran Söllscher): I. Prélude;0;160000;False;0.358;0.201;3;-24.341;1;0.0464;0.957;0.886;0.0983;0.201;140.081;4;classical
2Gi7g9L0XDJpMDfwuCYLO4;"Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler";Weihnachten Klassik 2022;Christmas Oratorio BWV 248: Shepherd's Music;0;445733;False;0.129;0.169;7;-19.892;1;0.0408;0.916;0.942;0.124;0.0541;52.153;3;classical
